Sample,All Autosomes,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr X
GTEX-NFK9-0004-SM-5JK4Y,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa
GTEX-NL3H-0009-SM-5JK37,Africa-Europe,Africa,Africa-Europe,Africa-Europe,Africa,Africa-South_Asia,Africa,Africa,Africa-Europe,Africa-Europe,Africa,Africa,Africa-South_Asia,Africa-Europe,Africa,Africa,Africa,Africa,Africa-Europe,Africa-Europe,Africa,Africa,Africa-Europe,Europe
GTEX-OHPK-0003-SM-5JK4Z,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa
GTEX-P4QR-0004-SM-5JK2Q,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe
GTEX-POMQ-0003-SM-5JK46,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa-Europe,Africa,Africa-Europe,Africa-Europe,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Europe,Africa-Europe,Africa,Africa,Europe,Africa
GTEX-Q2AH-0004-SM-5JK52,Africa,Africa,Africa-Europe,Africa,Africa-Europe,Africa-Europe,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa-Europe,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa-Europe,Africa,Africa,Africa
GTEX-QLQW-0001-SM-5URCU,Africa-Europe,Africa-Europe,Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Europe,Europe,Europe
GTEX-RU1J-0002-SM-5URDF,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa
GTEX-S7PM-0926-SM-5JK36,East_Asia-South_Asia,East_Asia-South_Asia,South_Asia,East_Asia,East_Asia-South_Asia,South_Asia,East_Asia,South_Asia,East_Asia,East_Asia,East_Asia,East_Asia-South_Asia,South_Asia,South_Asia,East_Asia,East_Asia-South_Asia,East_Asia,East_Asia,East_Asia,East_Asia,East_Asia,South_Asia,East_Asia,East_Asia
GTEX-SNOS-0004-SM-5SOEL,Africa-Europe,Africa,Africa-Europe,Africa-Europe,Africa,Africa,Africa-Europe,Africa,Africa,Africa-Europe,Africa,Africa-Europe,Africa,Africa-Europe,Africa,Africa-Europe,Africa,Africa-Europe,Africa,Africa,Africa,Africa-Europe,Africa,Europe
GTEX-T2YK-0003-SM-5URCD,Africa,Africa-Europe,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa
GTEX-TML8-0004-SM-5SOEP,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa-Europe,Africa,Africa,Africa-South_Asia,Africa-Europe,Africa-Europe,Africa-Europe,Africa-Europe,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa-Europe,Africa,Africa,Africa
GTEX-UJHI-0001-SM-5SOEU,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa
GTEX-UJMC-0002-SM-5SOEI,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa
GTEX-WHPG-0002-SM-5URBH,Europe,Europe,South_Asia,Europe,Europe,Europe-South_Asia,Europe,Europe-South_Asia,Europe,Europe,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe,South_Asia,South_Asia,Europe,Europe,Europe,Europe,Europe
GTEX-X3Y1-0002-SM-5URCV,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa